,loss,grad_norm,learning_rate,entropy,num_tokens,logits/chosen,logits/rejected,mean_token_accuracy,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_logits/chosen,eval_logits/rejected,eval_mean_token_accuracy,eval_rewards/chosen,eval_rewards/rejected,eval_rewards/accuracies,eval_rewards/margins,eval_logps/chosen,eval_logps/rejected,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6946896553039551,8.0625,4.909090909090909e-07,0.8129942774772644,43577.0,-1.581368657885066,-1.6093522097166075,0.6976146847009659,-0.008918466791510583,-0.006180572439916432,0.46875,-0.002737893699668348,-167.9832893371582,-186.3668643951416,0.17777777777777778,5,,,,,,,,,,,,,,,,,,,,
1,0.6969644069671631,7.84375,4.4545454545454544e-07,0.8156191781163216,87155.0,-1.588291644077524,-1.6182191608958185,0.700362215936184,-0.02202408801531419,-0.014733362384140492,0.4625,-0.007290725328493864,-165.63534278869628,-184.49829902648926,0.35555555555555557,10,,,,,,,,,,,,,,,,,,,,
2,0.6954116821289062,7.875,4e-07,0.8089233741164208,130652.0,-1.590841163948164,-1.6238727994510271,0.6994444206357002,-0.008807363384403289,-0.004602670390158892,0.41875,-0.004204693052452057,-166.56499519348145,-182.9908176422119,0.5333333333333333,15,,,,,,,,,,,,,,,,,,,,
3,0.6945915699005127,8.0,3.545454545454545e-07,0.8195948883891105,174001.0,-1.594148037294517,-1.6198599425053772,0.7038470596075058,-0.031419439718592915,-0.028852501208893953,0.475,-0.0025669384631328285,-165.3254238128662,-184.01112747192383,0.7111111111111111,20,,,,,,,,,,,,,,,,,,,,
4,0.694232988357544,7.90625,3.0909090909090907e-07,0.819247679412365,217426.0,-1.5842305093962536,-1.613353883361053,0.6944838732481002,-0.020672092447057366,-0.018802424042951314,0.5,-0.0018696691491641103,-167.01031608581542,-185.2971939086914,0.8888888888888888,25,,,,,,,,,,,,,,,,,,,,
5,0.6940494537353515,8.0,2.636363636363636e-07,0.8195521596706274,253260.0,-1.5856206024762969,-1.6242734571705513,0.7009926022905292,-0.03581852838397026,-0.036154857498000965,0.5303030303030303,0.0003363287400905833,-166.17798221472538,-184.9144481312145,1.0355555555555556,30,,,,,,,,,,,,,,,,,,,,
6,0.6936837673187256,7.53125,2.1818181818181815e-07,0.8124034613370895,296742.0,-1.5951105133750727,-1.6227878904420474,0.6997644275426864,-0.028026381402742117,-0.027262487658299507,0.51875,-0.0007638935756403952,-166.57632217407226,-184.36781044006347,1.2133333333333334,35,,,,,,,,,,,,,,,,,,,,
7,0.6901872158050537,7.8125,1.7272727272727272e-07,0.8191996037960052,340318.0,-1.5914852126781867,-1.6204138202478569,0.7018756344914436,-0.023060131713282316,-0.029336662590503694,0.58125,0.006276531313778833,-166.09153175354004,-185.1645164489746,1.3911111111111112,40,,,,,,,,,,,,,,,,,,,,
8,0.6914041042327881,7.5,1.2727272727272726e-07,0.8197051405906677,383675.0,-1.5843820701996818,-1.6085448187220224,0.6956048250198364,-0.05429741895059124,-0.058062430238351226,0.5125,0.0037650112295523285,-167.07189712524413,-183.5333168029785,1.568888888888889,45,,,,,,,,,,,,,,,,,,,,
9,0.6919321060180664,8.0625,8.181818181818182e-08,0.8074574396014214,427118.0,-1.5819924828019283,-1.608543012021535,0.7026093795895576,-0.03934841230511665,-0.042141782061662525,0.5125,0.0027933694946113974,-167.1749610900879,-186.6372314453125,1.7466666666666666,50,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,1.7466666666666666,50,0.6887586116790771,8.713,11.477,2.869,0.8176353430747986,427118.0,-1.5783033205396138,-1.608447432159366,0.6937349987030029,-0.05391221664845944,-0.063081742413342,0.63,0.009169525373727084,-168.4211181640625,-185.43329284667968,,,,,
11,0.6921652317047119,7.75,3.636363636363636e-08,0.8158204466104507,470702.0,-1.5921569775759028,-1.627143061146917,0.7034300461411476,-0.03499198027420789,-0.03732417154824361,0.51875,0.0023321916931308808,-165.539465713501,-186.16776237487792,1.9244444444444444,55,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,2.0,58,0.6901411414146423,8.7932,11.372,2.843,0.8186181974411011,489152.0,-1.5777635564931516,-1.6077413408993846,0.6940196657180786,-0.03539019867777824,-0.04170535255223513,0.55,0.0063151542469859125,-168.23589782714845,-185.21952758789064,,,,,
13,,,,,,,,,,,,,,,2.0,58,,,,,,,,,,,,,,,,355.0009,5.07,0.163,6070958451597312.0,0.693405319904459
